lemma,length,suffix_2,suffix_3,suffix_4,prefix_2,prefix_3,prefix_4,projection_x,projection_y,article
EUonline,8,ne,ine,line,eu,euo,euon,10.465948,14.273995,de
volgorde,8,de,rde,orde,vo,vol,volg,10.566756,11.186146,de
spanning,8,ng,ing,ning,sp,spa,span,10.690646,8.78892,de
prijzengeld,11,ld,eld,geld,pr,pri,prij,8.324765,12.873767,het
deur,4,ur,eur,deur,de,deu,deur,8.857013,8.45334,de
host,4,st,ost,host,ho,hos,host,13.110645,11.665162,de
heer,4,er,eer,heer,he,hee,heer,13.289066,8.956417,de
voorbeeld,9,ld,eld,eeld,vo,voo,voor,11.799798,10.429073,both
naam,4,am,aam,naam,na,naa,naam,12.799369,10.808211,de
winst,5,st,nst,inst,wi,win,wins,8.784405,12.899821,de
creatie,7,ie,tie,atie,cr,cre,crea,11.161107,9.934835,de
netwerk,7,rk,erk,werk,ne,net,netw,8.038888,10.072583,both
interesse,9,se,sse,esse,in,int,inte,11.453039,10.683383,de
nachtversie,11,ie,sie,rsie,na,nac,nach,6.1307373,6.5810137,de
kapsel,6,el,sel,psel,ka,kap,kaps,11.877119,6.6511292,de
bemanning,9,ng,ing,ning,be,bem,bema,10.072869,12.862623,de
hindoegod,9,od,god,egod,hi,hin,hind,13.2245865,6.9378824,de
hoek,4,ek,oek,hoek,ho,hoe,hoek,10.414667,7.800987,both
hersenkracht,12,ht,cht,acht,he,her,hers,8.8758745,6.45976,de
hand,4,nd,and,hand,ha,han,hand,10.345604,6.990433,both
ding,4,ng,ing,ding,di,din,ding,12.502766,8.605954,both
tv,2,tv,tv,tv,tv,tv,tv,14.727069,12.790168,both
televisieprogramma,18,ma,mma,amma,te,tel,tele,14.716153,12.776569,het
boek,4,ek,oek,boek,bo,boe,boek,12.763643,12.466046,both
dek,3,ek,dek,dek,de,dek,dek,11.308831,7.590454,het
leidinggevenden,15,en,den,nden,le,lei,leid,10.020818,12.979422,de
paniek,6,ek,iek,niek,pa,pan,pani,12.031052,9.701448,de
aanbeveling,11,ng,ing,ling,aa,aan,aanb,10.314836,11.655714,both
gebruik,7,ik,uik,ruik,ge,geb,gebr,9.92557,10.904855,het
toevoeging,10,ng,ing,ging,to,toe,toev,10.911936,9.753398,de
belang,6,ng,ang,lang,be,bel,bela,11.212621,10.6403675,both
preventie,9,ie,tie,ntie,pr,pre,prev,10.376487,10.953506,de
risico,6,co,ico,sico,ri,ris,risi,10.471235,11.234758,both
opzet,5,et,zet,pzet,op,opz,opze,11.313629,9.138252,de
meta-analyse,12,se,yse,lyse,me,met,meta,7.7323194,11.313103,de
referentielijst,15,st,jst,ijst,re,ref,refe,10.771804,10.802433,de
inclusiecriteria,16,ia,ria,eria,in,inc,incl,10.87349,10.001505,de
voorgeschiedenis,16,is,nis,enis,vo,voo,voor,14.228699,10.387884,de
dosis,5,is,sis,osis,do,dos,dosi,8.649223,6.0319433,de
studie,6,ie,die,udie,st,stu,stud,7.345327,11.480074,de
kwaliteit,9,it,eit,teit,kw,kwa,kwal,9.236628,11.109778,de
mortaliteit,11,it,eit,teit,mo,mor,mort,13.346996,10.458771,de
auteur,6,ur,eur,teur,au,aut,aute,12.809481,12.37345,de
incidentie,10,ie,tie,ntie,in,inc,inci,11.96423,9.742304,de
behandelgroep,13,ep,oep,roep,be,beh,beha,10.44221,12.076001,de
placebogroep,12,ep,oep,roep,pl,pla,plac,9.486022,7.691675,de
uitsluiting,11,ng,ing,ting,ui,uit,uits,11.589908,9.583552,de
verband,7,nd,and,band,ve,ver,verb,8.661554,9.964909,both
afwezigheid,11,id,eid,heid,af,afw,afwe,11.704259,9.594108,de
zon,3,on,zon,zon,zo,zon,zon,9.586394,5.164926,both
mestboekhouding,15,ng,ing,ding,me,mes,mest,11.039828,10.019077,de
zand,4,nd,and,zand,za,zan,zand,10.480744,4.5077305,both
site,4,te,ite,site,si,sit,site,12.7168,13.305848,de
kaart,5,rt,art,aart,ka,kaa,kaar,9.108475,7.293578,both
voorwaarde,10,de,rde,arde,vo,voo,voor,11.085676,10.57792,de
perceel,7,el,eel,ceel,pe,per,perc,11.789866,7.8517184,both
moeite,6,te,ite,eite,mo,moe,moei,11.486361,9.605664,de
grond,5,nd,ond,rond,gr,gro,gron,9.236181,7.3965325,de
gebied,6,ed,ied,bied,ge,geb,gebi,9.154491,7.5754843,both
grondsoortenkaart,17,rt,art,aart,gr,gro,gron,9.154776,7.26617,de
veenperce,9,ce,rce,erce,ve,vee,veen,14.680498,8.140358,de
grondsoort,10,rt,ort,oort,gr,gro,gron,9.22865,7.2611256,de
goudvis,7,is,vis,dvis,go,gou,goud,10.361571,4.1129246,de
vis,3,is,vis,vis,vi,vis,vis,12.637554,8.832789,de
grootte,7,te,tte,otte,gr,gro,groo,10.166882,8.99712,de
manier,6,er,ier,nier,ma,man,mani,10.46744,8.697884,de
verkoopster,11,er,ter,ster,ve,ver,verk,8.041005,12.149708,de
apotheek,8,ek,eek,heek,ap,apo,apot,8.574536,5.991719,de
kou,3,ou,kou,kou,ko,kou,kou,13.112628,7.120395,de
water,5,er,ter,ater,wa,wat,wate,10.028357,3.5437412,both
zorg,4,rg,org,zorg,zo,zor,zorg,7.9831905,6.0649266,de
aquarium,8,um,ium,rium,aq,aqu,aqua,10.291374,3.8893952,het
vervaldatum,11,um,tum,atum,ve,ver,verv,14.989307,10.807212,de
APKkeuring,10,ng,ing,ring,ap,apk,apkk,11.253629,9.135067,de
datum,5,um,tum,atum,da,dat,datu,14.975747,10.805891,de
APKkeuringsrapport,18,rt,ort,port,ap,apk,apkk,11.885243,11.876903,het
voertuig,8,ig,uig,tuig,vo,voe,voer,6.3852105,8.716436,both
keuringsplicht,14,ht,cht,icht,ke,keu,keur,10.784424,11.627252,de
mogelijkheid,12,id,eid,heid,mo,mog,moge,11.689204,9.926112,de
geldigheid,10,id,eid,heid,ge,gel,geld,11.943886,10.344954,de
kentekenbewijs,14,js,ijs,wijs,ke,ken,kent,10.584685,11.5894165,het
postkantoor,11,or,oor,toor,po,pos,post,9.377664,11.464249,het
auto,4,to,uto,auto,au,aut,auto,6.3383894,8.70106,de
APKkeuringsplicht,17,ht,cht,icht,ap,apk,apkk,10.984748,11.247234,de
schorsing,9,ng,ing,sing,sc,sch,scho,13.706963,6.7116957,de
keuring,7,ng,ing,ring,ke,keu,keur,12.450037,5.339444,de
voertuigbewijs,14,js,ijs,wijs,vo,voe,voer,6.4601517,8.745057,het
toestel,7,el,tel,stel,to,toe,toes,10.954042,7.7372804,both
A6000,5,00,000,6000,a6,a60,a600,14.210353,7.573086,de
stekker,7,er,ker,kker,st,ste,stek,11.581017,7.67128,de
moeder,6,er,der,eder,mo,moe,moed,6.8650875,5.0696764,de
plank,5,nk,ank,lank,pl,pla,plan,10.627174,6.975485,de
toneel,6,el,eel,neel,to,ton,tone,13.404273,11.243208,het
schrijver,9,er,ver,jver,sc,sch,schr,12.764027,12.206262,de
toneelstuk,10,uk,tuk,stuk,to,ton,tone,13.357601,11.1718645,het
theaterversie,13,ie,sie,rsie,th,the,thea,14.324968,12.173602,de
totstandkoming,14,ng,ing,ming,to,tot,tots,13.038244,9.755927,de
gesprek,7,ek,rek,prek,ge,ges,gesp,12.160359,11.40777,both
verhaal,7,al,aal,haal,ve,ver,verh,13.212231,10.912499,both
actrice,7,ce,ice,rice,ac,act,actr,13.436739,11.310922,de
hoofd,5,fd,ofd,oofd,ho,hoo,hoof,10.18915,7.346249,both
zin,3,in,zin,zin,zi,zin,zin,12.506113,10.946247,de
personage,9,ge,age,nage,pe,per,pers,12.737102,10.840815,both
stuk,4,uk,tuk,stuk,st,stu,stuk,11.251316,8.374109,both
acteur,6,ur,eur,teur,ac,act,acte,13.411014,11.317986,de
eindresultaat,13,at,aat,taat,ei,ein,eind,9.724234,9.7720995,both
concentratie,12,ie,tie,atie,co,con,conc,10.907161,9.57766,de
papier,6,er,ier,pier,pa,pap,papi,12.575185,12.16808,both
voorstelling,12,ng,ing,ling,vo,voo,voor,13.580703,11.4432745,de
achtergrond,11,nd,ond,rond,ac,ach,acht,10.671857,8.463889,de
romantiek,9,ek,iek,tiek,ro,rom,roma,13.501705,9.399397,de
liefde,6,de,fde,efde,li,lie,lief,13.40102,9.439132,de
hoogte,6,te,gte,ogte,ho,hoo,hoog,9.85776,8.094558,de
webshop,7,op,hop,shop,we,web,webs,12.642608,13.301781,de
outlet,6,et,let,tlet,ou,out,outl,9.073047,8.533788,both
nieuwsbrief,11,ef,ief,rief,ni,nie,nieu,12.235229,12.237519,de
gat,3,at,gat,gat,ga,gat,gat,13.355842,7.5455194,de
appartement,11,nt,ent,ment,ap,app,appa,7.5201235,7.4803348,both
mevrouw,7,uw,ouw,rouw,me,mev,mevr,13.34442,8.728412,both
keuken,6,en,ken,uken,ke,keu,keuk,12.560119,4.183338,de
school,6,ol,ool,hool,sc,sch,scho,6.2156405,11.922882,both
taal,4,al,aal,taal,ta,taa,taal,12.835153,11.286786,de
voorjaar,8,ar,aar,jaar,vo,voo,voor,4.879963,7.049613,het
verkoop,7,op,oop,koop,ve,ver,verk,8.181801,12.296252,de
krant,5,nt,ant,rant,kr,kra,kran,12.333112,12.405661,de
voordeel,8,el,eel,deel,vo,voo,voor,10.914016,10.565453,both
nadeel,6,el,eel,deel,na,nad,nade,11.846242,9.7171135,both
natuur,6,ur,uur,tuur,na,nat,natu,9.359394,6.7583504,both
éen,3,en,éen,éen,ée,éen,éen,13.139667,8.192859,het
bloed,5,ed,oed,loed,bl,blo,bloe,3.9347718,8.919566,het
vat,3,at,vat,vat,va,vat,vat,13.249462,7.7516108,both
maag,4,ag,aag,maag,ma,maa,maag,11.122806,6.436385,de
lichaam,7,am,aam,haam,li,lic,lich,10.631766,6.8627157,both
testosteron,11,on,ron,eron,te,tes,test,13.903916,8.83708,de
darmwand,8,nd,and,wand,da,dar,darm,12.907964,6.976265,de
stof,4,of,tof,stof,st,sto,stof,11.403371,6.577441,both
bedrag,6,ag,rag,drag,be,bed,bedr,11.781675,9.968075,both
aanbieding,10,ng,ing,ding,aa,aan,aanb,9.6569,11.946888,de
kleinkind,9,nd,ind,kind,kl,kle,klei,6.8361225,5.3630676,de
tuin,4,in,uin,tuin,tu,tui,tuin,11.436334,4.8272686,de
huis,4,is,uis,huis,hu,hui,huis,7.296994,7.4841614,both
omgeving,8,ng,ing,ving,om,omg,omge,11.2261305,15.318304,de
looppad,7,ad,pad,ppad,lo,loo,loop,10.221988,7.7488704,de
stijl,5,jl,ijl,tijl,st,sti,stij,11.787474,8.918302,de
zogenaamd,9,md,amd,aamd,zo,zog,zoge,12.814234,6.8028283,both
nadruk,6,uk,ruk,druk,na,nad,nadr,12.053318,10.986602,de
persoonlijkheid,15,id,eid,heid,pe,per,pers,12.067798,10.499507,de
voorloper,9,er,per,oper,vo,voo,voor,11.084674,10.04027,de
rehabilitatie,13,ie,tie,atie,re,reh,reha,9.056941,8.953789,de
aandacht,8,ht,cht,acht,aa,aan,aand,11.649114,9.7560425,de
kielzog,7,og,zog,lzog,ki,kie,kiel,12.935943,7.0066195,het
arbeidsproces,13,es,ces,oces,ar,arb,arbe,9.455128,13.921083,het
oorlog,6,og,log,rlog,oo,oor,oorl,11.561581,13.235106,both
front,5,nt,ont,ront,fr,fro,fron,9.198817,8.694341,het
maatschappij,12,ij,pij,ppij,ma,maa,maat,11.405248,11.089302,de
ziekenhuis,10,is,uis,huis,zi,zie,ziek,7.897161,5.9343524,both
concept,7,pt,ept,cept,co,con,conc,11.567842,10.346099,both
afdelingsmilieu,15,eu,ieu,lieu,af,afd,afde,10.314426,12.65551,het
